step,timestamp,mode,total_waiting_time,baseline_waiting_time,total_queue,total_throughput,rl_gain
311,1776324159.2332008,sumo,23380.0,23426.2,156.0,16.717,46.20000000000073
312,1776324161.2314782,sumo,23535.0,23581.2,156.0,16.672,46.20000000000073
313,1776324163.2486107,sumo,23690.0,23736.0,155.0,17.021,46.0
314,1776324165.2621083,sumo,23243.0,23288.8,154.0,16.957,45.79999999999927
315,1776324167.2701101,sumo,20729.0,20773.0,145.0,17.076,44.0
316,1776324169.2863064,sumo,18076.0,18118.0,135.0,16.774,42.0
317,1776324171.2978497,sumo,15605.0,15645.2,126.0,17.183,40.20000000000073
318,1776324173.3081565,sumo,13320.0,13358.0,115.0,17.279,38.0
319,1776324175.3198044,sumo,11214.0,11252.0,115.0,16.864,38.0
320,1776324177.3305418,sumo,9302.0,9338.2,106.0,17.204,36.20000000000073
321,1776324179.3459258,sumo,7579.0,7615.6,108.0,17.604,36.600000000000364
322,1776324181.3717997,sumo,6041.0,6076.0,100.0,16.948,35.0
323,1776324183.3637207,sumo,5094.0,5129.2,101.0,17.523,35.19999999999982
324,1776324185.373394,sumo,3869.0,3902.4,92.0,17.534,33.40000000000009
325,1776324187.382209,sumo,2935.0,2969.0,95.0,17.413,34.0
326,1776324189.396525,sumo,2580.0,2614.4,97.0,17.144,34.40000000000009
327,1776324191.401978,sumo,1783.0,1817.4,97.0,17.317,34.40000000000009
328,1776324193.4146972,sumo,1334.0,1368.8,99.0,16.636,34.799999999999955
329,1776324195.4271505,sumo,1004.0,1037.6,93.0,17.35,33.59999999999991
330,1776324197.4373367,sumo,733.0,766.8,94.0,16.809,33.799999999999955
331,1776324199.4458525,sumo,627.0,660.6,93.0,15.048,33.60000000000002
332,1776324201.4535255,sumo,671.0,704.4,92.0,14.071,33.39999999999998
333,1776324203.472335,sumo,758.0,793.6,103.0,12.755,35.60000000000002
334,1776324205.4841032,sumo,861.0,897.0,105.0,11.251,36.0
335,1776324207.4933019,sumo,975.0,1012.8,114.0,9.735,37.799999999999955
